"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Incline West",0.5,2000-03-01,11.05666667,,6228.16
"Incline West",0.5,2000-04-10,14.085,,6228.2
"Incline West",0.5,2000-05-02,14.58666667,,6228.49
"Incline West",0.5,2000-06-15,8.853333333,,6229.05
"Incline West",0.5,2000-08-17,1.973333333,,6228.28
"Incline West",0.5,2000-12-05,8.563333333,,6226.76
"Incline West",0.5,2001-02-01,13.72,,6226.3
"Incline West",0.5,2001-03-07,20.49,,6226.27
"Incline West",0.5,2001-04-12,10.46,,6226.25
"Incline West",0.5,2001-05-07,13.13,,6226.38
"Incline West",0.5,2001-06-07,12.26,,6226.43
"Incline West",0.5,2001-08-29,8.83,,6225.15
"Incline West",0.5,2001-12-12,13.30333333,,6224.05
"Incline West",0.5,2002-02-04,17.95666667,,6224.14
"Incline West",0.5,2002-02-26,17.38333333,,6224.2
"Incline West",0.5,2002-04-22,19.57333333,,6224.62
"Incline West",0.5,2002-05-24,10.245,,6224.92
"Incline West",0.5,2002-06-28,17.96,,6225.06
"Incline West",0.5,2002-09-24,13.86,,6223.64
"Incline West",0.5,2003-01-30,27.06,45.34,6223.71
"Incline West",0.5,2003-02-28,23.34,44,6223.71
"Incline West",0.5,2003-04-08,15.73333333,,6223.86
"Incline West",0.5,2003-05-12,18.97333333,36.05,6224.21
"Incline West",0.5,2003-05-21,26.31333333,42.17,6224.33
"Incline West",0.5,2003-07-10,36.975,63.43,6224.75
"Incline West",0.5,2003-09-02,14.425,34.51,6224.09
"Incline West",0.5,2003-11-18,8.97,16.02,6223.04
"Incline West",0.5,2004-10-22,33.455,44.19,6222.72
"Incline West",0.5,2005-01-20,51.765,55.53,6223.01
"Incline West",0.5,2005-03-03,40.665,48.03,6223.21
"Incline West",0.5,2005-03-30,38.785,46.63,6223.62
"Incline West",0.5,2005-04-29,40.12,53.43,6223.81
"Incline West",0.5,2005-06-13,7.415,9.64,6225.35
"Incline West",0.5,2005-06-29,3.64,3.82,6225.53
"Incline West",0.5,2005-08-23,7.635,6.85,6225.08
"Incline West",0.5,2005-11-18,21.55,77.36,6223.82
"Incline West",0.5,2005-12-16,38.815,42.91,6224.07
"Incline West",0.5,2006-01-25,11.77,7.44,6225.89
"Incline West",0.5,2006-02-23,4.67,2.46,6226.05
"Incline West",0.5,2006-04-07,10.89,6.08,6227.02
"Incline West",0.5,2006-04-28,19.835,12.68,6227.49
"Incline West",0.5,2006-05-31,6.475,4.5,6228.58
"Incline West",0.5,2006-06-29,4.125,5.33,6229.03
"Incline West",0.5,2006-12-04,13.365,6.04,6227.1
"Incline West",0.5,2007-01-26,15.62,3.72,6226.87
"Incline West",0.5,2007-02-15,14.935,5.98,6226.96
"Incline West",0.5,2007-03-15,14.015,9.16,6227.13
"Incline West",0.5,2007-05-25,13.935,8.75,6227.58
"Incline West",0.5,2007-06-14,7.17,7.14,6227.57
"Incline West",0.55,2007-11-26,24.67,31.49,6225
"Incline West",0.5,2008-02-12,48.19,35.9,6225.11
"Incline West",0.5,2008-03-12,,,6225.14
"Incline West",0.5,2008-04-10,35.94,31.81,6225.09
"Incline West",0.5,2008-06-04,34.925,43.05,6225.47
"Incline West",0.55,2008-09-05,11.815,15.66,6224.11
"Incline West",0.5,2009-01-23,18.825,28.34,6223.28
"Incline West",0.5,2009-03-10,40.185,38.52,6223.62
"Incline West",0.5,2009-04-22,31.19666667,47.21,6223.72
"Incline West",0.5,2009-06-25,53.66,67.01,6224.58
"Incline West",0.5,2009-09-22,21.27,30.72,6223.31
"Incline West",0.5,2010-01-04,21.015,27.63,6222.77
"Incline West",0.5,2010-02-25,36.195,50.27,6223.13
"Incline West",0.5,2010-03-26,26.305,41.22,6223.24
"Incline West",0.5,2010-05-13,15.76,28.6,6223.78
"Incline West",0.5,2010-10-13,38.685,43.95,6223.53
"Incline West",0.5,2011-01-05,62.46,66.09,6224.55
"Incline West",0.5,2011-03-31,15.42,7.37,6225.64
"Incline West",0.54,2011-05-06,38.075,16.58,6226.17
"Incline West",0.5,2011-07-01,2.95,,6228.04
"Incline West",0.5,2011-10-28,7.605,4.82,6227.44
"Incline West",0.5,2012-01-13,10.57,6.04,6226.65
"Incline West",0.5,2012-03-19,19.48,12.42,6227.02
"Incline West",0.5,2012-04-20,13.565,8.43,6227.19
"Incline West",0.5,2012-06-11,15.455,17.07,6227.63
"Incline West",0.5,2012-08-27,13.585,11.83,6226.57
"Incline West",0.5,2013-01-16,19.90666667,15.32,6226.05
"Incline West",0.5,2013-02-28,25.785,21.54,6225.82
"Incline West",0.5,2013-04-12,36.775,26.77,6225.99
"Incline West",0.5,2013-06-21,42.21,39.47,6226.16
"Incline West",0.5,2013-11-14,11.705,17.4,6223.98
"Incline West",0.5,2014-03-04,17.935,24.59,6224.16
"Incline West",0.5,2014-04-11,16.31,23.3,6224.27
"Incline West",0.5,2014-05-21,22.12,32.81,6224.42
"Incline West",0.5,2014-07-02,21.4,33.19,6224.09
"Incline West",0.5,2014-11-11,30.175,42.19,6222.68
"Incline West",0.5,2015-02-20,22.92,35.2,6222.84
"Incline West",0.5,2015-03-19,40.12,58.46,6222.83
"Incline West",0.5,2015-04-23,18.98,36.99,6222.74
"Incline West",0.5,2015-06-16,37.76947762,62.4122782,6222.98
"Incline West",0.5,2015-11-19,36.01394679,63.07303825,6221.53
"Incline West",0.5,2016-02-29,33.09739491,58.34737581,6222.24
"Incline West",0.5,2016-03-30,61.18496218,66.80958195,6222.86
"Incline West",0.5,2016-05-04,69.59343352,108.3579475,6223.43
"Incline West",0.5,2016-06-29,4.463109469,6.242559358,6223.96
