"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Zephyr Pt.",0.5,2000-03-13,20.95666667,,6228.15
"Zephyr Pt.",0.5,2000-04-10,16.16666667,,6228.2
"Zephyr Pt.",0.5,2000-05-02,14.14333333,,6228.49
"Zephyr Pt.",0.5,2000-06-15,13.01,,6229.05
"Zephyr Pt.",0.5,2000-08-17,5.313333333,,6228.28
"Zephyr Pt.",0.5,2000-12-05,13.4,,6226.76
"Zephyr Pt.",0.5,2001-02-01,11.52,,6226.3
"Zephyr Pt.",0.5,2001-03-07,11.2,,6226.27
"Zephyr Pt.",0.5,2001-04-12,4.285,,6226.25
"Zephyr Pt.",0.5,2001-05-07,3.913333333,,6226.38
"Zephyr Pt.",0.5,2001-06-07,11.87666667,,6226.43
"Zephyr Pt.",0.5,2001-08-29,7.13,,6225.15
"Zephyr Pt.",0.5,2001-12-12,14,,6224.05
"Zephyr Pt.",0.5,2002-02-04,16.11333333,,6224.14
"Zephyr Pt.",0.5,2002-02-26,12.19666667,,6224.2
"Zephyr Pt.",0.5,2002-04-22,25.63666667,,6224.62
"Zephyr Pt.",0.5,2002-05-24,19.66333333,,6224.92
"Zephyr Pt.",0.5,2002-06-28,16.29333333,,6225.06
"Zephyr Pt.",0.5,2002-09-24,19.86333333,,6223.64
"Zephyr Pt.",0.5,2003-01-30,25.575,25.2,6223.71
"Zephyr Pt.",0.5,2003-02-28,24.43,37.07,6223.71
"Zephyr Pt.",0.5,2003-04-08,14.21666667,,6223.86
"Zephyr Pt.",0.5,2003-05-12,13.625,26.08,6224.21
"Zephyr Pt.",0.5,2003-05-21,11.11,18.51,6224.33
"Zephyr Pt.",0.5,2003-07-10,9.27,20.88,6224.75
"Zephyr Pt.",0.5,2003-09-02,9.216666667,11.72,6224.09
"Zephyr Pt.",0.5,2003-11-18,14.565,18.35,6223.04
"Zephyr Pt.",0.5,2004-10-22,10.86,12.64,6222.72
