"site","Depth","Sample_Date","Chl","AFDW","Lake_Level"
"Tahoe City",0.5,2000-03-06,99.87666667,,6228.16
"Tahoe City",0.5,2000-04-04,44.79333333,,6228.14
"Tahoe City",0.5,2000-05-01,48.51333333,,6228.48
"Tahoe City",0.5,2000-06-06,12.06666667,,6229.03
"Tahoe City",0.5,2000-08-22,55.08666667,,6228.16
"Tahoe City",0.5,2000-12-04,79.61333333,,6226.76
"Tahoe City",0.5,2001-01-18,26.81,,6226.42
"Tahoe City",0.5,2001-03-08,103.2066667,,6226.26
"Tahoe City",0.5,2001-04-05,30.61,,6226.23
"Tahoe City",0.5,2001-05-04,23.13,,6226.35
"Tahoe City",0.5,2001-05-31,12.09666667,,6226.53
"Tahoe City",0.5,2001-08-27,29.34,,6225.19
"Tahoe City",0.5,2001-12-21,89.71333333,,6224.09
"Tahoe City",0.5,2002-01-31,121.9766667,,6224.15
"Tahoe City",0.5,2002-02-28,148.56,,6224.19
"Tahoe City",0.5,2002-04-08,181.02,,6224.43
"Tahoe City",0.5,2002-05-28,28.29666667,,6224.95
"Tahoe City",0.5,2002-07-08,4.37,,6224.96
"Tahoe City",0.5,2002-09-16,136.71,,6223.73
"Tahoe City",0.5,2003-01-30,54.755,50.33,6223.71
"Tahoe City",0.5,2003-02-21,171.005,121.52,6223.7
"Tahoe City",0.5,2003-03-18,254.6766667,,6223.72
"Tahoe City",0.5,2003-04-30,89.75,105.55,6224.12
"Tahoe City",0.5,2003-06-06,13.11666667,18.18,6224.78
"Tahoe City",0.5,2003-06-27,12.70666667,,6224.88
"Tahoe City",0.5,2003-09-12,16.95,,6223.92
"Tahoe City",0.5,2003-12-03,24.46,34.5,6222.86
"Tahoe City",0.5,2004-11-02,8.41,11.1,6222.69
"Tahoe City",0.5,2005-01-05,18.955,23.07,6222.74
"Tahoe City",0.5,2005-03-04,33.36,34.78,6223.21
"Tahoe City",0.5,2005-03-31,132.245,75.17,6223.63
"Tahoe City",0.5,2005-04-21,48.805,38.39,6223.71
"Tahoe City",0.5,2005-06-13,17.58,29.94,6225.35
"Tahoe City",0.5,2005-07-05,8.105,13.77,6225.57
"Tahoe City",0.5,2005-08-23,,0.49,6225.08
"Tahoe City",0.5,2005-11-18,12.715,2.16,6223.82
"Tahoe City",0.5,2005-12-16,5.24,8.82,6224.07
"Tahoe City",0.5,2006-01-25,19.46,37.68,6225.89
"Tahoe City",0.5,2006-02-23,39.845,76.67,6226.05
"Tahoe City",0.5,2006-03-21,111.48,203.86,6226.61
"Tahoe City",0.5,2006-05-02,86.975,124.01,6227.63
"Tahoe City",0.5,2006-05-31,10.425,19.16,6228.58
"Tahoe City",0.5,2006-06-28,5.735,5.87,6229.06
"Tahoe City",0.5,2006-12-04,19.4,13.76,6227.1
"Tahoe City",0.5,2007-01-26,53.58,26.44,6226.87
"Tahoe City",0.5,2007-02-15,57.48,47.99,6226.96
"Tahoe City",0.5,2007-03-14,202.09,117.98,6227.12
"Tahoe City",0.5,2007-04-06,94.75,82.71,6227.28
"Tahoe City",0.5,2007-05-17,11.77,13.47,6227.56
"Tahoe City",0.5,2007-06-14,7.905,10.07,6227.57
"Tahoe City",0.5,2007-12-12,26.145,12.61,6224.82
"Tahoe City",0.5,2008-02-07,64.17333333,36.16,6225.12
"Tahoe City",0.5,2008-03-12,72.705,52.33,6225.14
"Tahoe City",0.5,2008-04-10,183.72,87.52,6225.09
"Tahoe City",0.5,2008-05-19,21.78,21.02,6225.35
"Tahoe City",0.5,2008-09-08,17.58,13.77,6224.05
"Tahoe City",0.5,2009-01-27,26.83,,6223.28
